id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,pymnt_plan,purpose,title,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,recoveries,collection_recovery_fee,policy_code,tot_cur_bal,total_rev_hi_lim
7543,9150,9150,9150, 36 months,6.62,280.94,A,A2,Business Account Executive ,2 years,OWN,75000,n,debt_consolidation,Credit Card Debt Consolidation,NV,12.06,0,Mar-2002,1,12,0,19747,29.5,28,f,0,0,1098.3,10.983,1,37253,67000
7544,7200,7200,7200, 36 months,15.61,251.75,C,C3,Clark County Sheriffs Office,10+ years,MORTGAGE,65000,n,other,Other,WA,11.32,0,Jan-1997,1,8,0,6465,66,10,w,0,0,0,0,1,298260,9800
7545,12000,12000,12000, 60 months,15.41,288.07,D,D1,Controller,10+ years,MORTGAGE,86400,n,debt_consolidation,Debt consolidation,NY,19.51,0,Jun-2006,1,18,0,20363,91.3,30,w,11866.03,11866.03,0,0,1,255764,22300
7546,10000,10000,10000, 36 months,13.65,340.08,C,C1,Disability Representive,3 years,MORTGAGE,51000,n,home_improvement,Home improvement,CA,14.75,0,Oct-1989,1,4,1,3973,59,24,f,5229.78,5229.78,0,0,1,35713,6700
7547,20000,20000,20000, 36 months,12.49,668.98,B,B5,Registered Nurse,2 years,RENT,54715,n,debt_consolidation,Debt consolidation,WA,27.11,0,May-2000,0,9,0,12308,52.6,19,f,0,0,3229.64,581.3352,1,33961,26800
7548,10800,10800,10800, 36 months,13.66,367.34,C,C3,Legal Assistant,10+ years,RENT,80000,n,debt_consolidation,Debt consolidation,CA,19.17,0,May-2007,0,8,0,17869,82.7,8,w,8046.89,8046.89,0,0,1,39922,21600
7549,4800,4800,4800, 36 months,8.49,151.51,A,A5,A & J escort & flag car service Inc.,10+ years,OWN,48000,n,other,motorcycle,SC,22.77,0,Apr-2002,0,10,0,12909,56.9,24,f,0,0,188.89,1.88,1,,
7550,5600,5600,5600, 36 months,12.39,187.05,C,C1,,n/a,OWN,11532,n,credit_card,Credit card refinancing,FL,11.97,0,Aug-2009,0,7,0,3657,28.6,8,f,0,0,0,0,1,3657,12800
7551,14000,14000,14000, 60 months,17.57,352.25,D,D2,Production Supervisor,10+ years,RENT,55000,n,debt_consolidation,Debt consolidation,MN,18.28,1,Jun-2001,1,9,1,3673,17.2,22,f,0,0,0,0,1,44100,21400
7552,9600,9600,9600, 36 months,15.31,334.25,C,C2,Wisconsin Technology Council,< 1 year,RENT,42000,n,debt_consolidation,"Great job, now time to shake that debt!",WI,9.49,0,Oct-2003,2,7,0,10809,84.4,11,f,0,0,0,0,1,10809,12800
7553,14000,14000,14000, 60 months,18.55,359.72,E,E2,Technical Sales Exec,10+ years,RENT,240000,n,medical,Medical expenses,TX,21.72,1,Sep-2000,0,17,0,13458,64.7,35,w,12949.14,12949.14,0,0,1,448208,20800
7554,15000,15000,15000, 60 months,21.67,411.48,E,E5,Supervisor,3 years,RENT,47000,n,debt_consolidation,Debt consolidation,MN,21.07,0,Jun-2007,2,9,0,6899,43.4,11,f,13960.81,13960.81,0,0,1,24320,15900
7555,20000,20000,20000, 60 months,14.16,467.03,C,C2,Accountant,2 years,RENT,90000,n,credit_card,Credit card refinancing,PA,17.81,0,Sep-1999,0,14,1,16886,69.8,25,f,14822.85,14822.85,0,0,1,59805,24200
7556,9000,9000,9000, 36 months,19.97,334.34,D,D5,Veterinary Technician,6 years,RENT,25000,n,debt_consolidation,Debt consolidation,KS,34.66,0,Apr-2002,0,5,0,11553,100.5,13,f,0,0,0,0,1,28674,11500
7557,18450,18450,18450, 36 months,22.45,708.92,E,E5,tech,8 years,RENT,51302,n,credit_card,Credit card refinancing,AR,17.1,0,Dec-1987,1,8,0,19967,96.5,17,f,8703.07,8703.07,0,0,1,24070,20700
7558,30000,30000,30000, 60 months,20.2,798.16,E,E3,Budget Analyst,10+ years,MORTGAGE,95000,n,debt_consolidation,Debt consolidation,OH,31.36,1,Jan-1994,0,22,0,87116,81.4,37,w,23896.47,23896.47,0,0,1,557107,91000
7559,28000,28000,28000, 36 months,7.89,876,A,A5,Credit Underwriter: NC03,5 years,RENT,65000,n,debt_consolidation,Debt consolidation,GA,21.2,0,Aug-2004,1,13,0,4564,9.1,20,w,23060.11,23060.11,0,0,1,52483,50200
7560,12000,12000,12000, 36 months,11.99,398.52,B,B3,lead coordinator,10+ years,RENT,42000,n,debt_consolidation,Debt consolidation,GA,15.54,1,Oct-2003,1,8,0,4130,33,16,f,0,0,0,0,1,10608,12500
7561,24000,24000,24000, 60 months,18.25,612.72,E,E1,Program manager,10+ years,MORTGAGE,145000,n,debt_consolidation,Debt consolidation,WA,28.2,1,Nov-1995,3,44,0,68473,87.7,71,f,22456.01,22456.01,0,0,1,385350,78300
7562,7200,7200,7200, 36 months,10.99,235.69,B,B3,BIOCHEMIST,10+ years,RENT,60000,n,other,Other,CA,15.09,3,Apr-1991,0,15,0,1571,11.7,43,w,4483.85,4483.85,0,0,1,21984,13400
7563,8000,8000,8000, 36 months,7.26,247.97,A,A4,foreman,6 years,MORTGAGE,42000,n,debt_consolidation,Debt consolidation,OH,18.97,0,Feb-2005,0,14,0,6562,21.9,18,w,0,0,0,0,1,84764,30000
7564,20000,20000,20000, 60 months,17.14,498.56,D,D4,Retail Sales Consultant,3 years,RENT,60000,n,debt_consolidation,Debt consolidation,NH,26.93,0,Aug-2004,0,10,0,12480,58.9,14,w,17970.76,17970.76,0,0,1,53517,21200
7565,8000,8000,8000, 36 months,15.8,280.47,C,C3,Carolina Bone and Joint,10+ years,MORTGAGE,40000,n,debt_consolidation,Debt Consolidation ,NC,14.37,0,Dec-1998,0,9,0,5101,50,15,f,0,0,11.4,2.052,1,113144,10200
7566,27975,27975,27825, 36 months,9.67,898.35,B,B1,Assistant Director of Housekeeping,2 years,RENT,56000,n,credit_card,Credit card refinancing,NY,16.21,0,Feb-2002,0,27,0,32399,32.5,51,f,11848.24,11784.71,0,0,1,34471,99800
7567,17050,17050,17050, 36 months,16.29,601.88,C,C4,Good Samaritan Hospital,10+ years,MORTGAGE,72000,n,debt_consolidation,Fresh Start Loan,OH,22.01,0,Feb-2000,0,11,0,16125,91.6,25,f,0,0,2664.79,479.6622,1,50890,17600
7568,7600,7600,7600, 60 months,10.59,163.7,B,B2,University of South Carolina,1 year,OWN,33996,n,other,Consolidation,SC,21.92,0,Jan-2003,0,10,0,1962,47.9,18,f,0,0,0,0,1,,
7569,15850,15850,15850, 60 months,22.95,446.37,F,F1,IHSS,10+ years,OWN,36100,n,debt_consolidation,Debt consolidation,CA,26.09,0,Apr-2005,1,10,0,5431,51.2,14,f,9867.29,9867.29,0,0,1,25558,10600
7570,17750,17750,17500, 60 months,12.29,397.45,C,C1,Loan Support Specialist,6 years,MORTGAGE,75000,n,debt_consolidation,Debt consolidation,GA,21.69,1,Aug-1992,0,22,0,11335,24,40,w,17096.37,16855.58,0,0,1,31753,51100
7571,35000,35000,34950, 60 months,17.56,880.42,D,D1,Rose Radiology,9 years,MORTGAGE,195000,n,debt_consolidation,Consolidate,FL,23.72,0,Dec-1990,0,15,0,33297,68.8,51,w,0,0,0,0,1,401021,48400
7572,16800,16800,16800, 36 months,16.99,598.89,D,D3,Vocational Counselor,4 years,RENT,47500,n,credit_card,Credit card refinancing,VA,22.5,0,Aug-2004,0,18,0,25915,53.8,33,w,0,0,2372.24,23.7224,1,40633,48200
7573,35000,35000,35000, 60 months,22.47,976.04,E,E5,Berry Plastics,10+ years,RENT,82000,n,debt_consolidation,Debt Loan,IN,20.22,3,Feb-2002,0,7,0,14983,87.1,29,f,0,0,4995.43,899.1774,1,53525,17200
7574,19600,19600,19600, 36 months,16.99,698.7,D,D3,,n/a,RENT,44550,n,debt_consolidation,Debt consolidation,HI,28.71,0,Dec-1978,0,7,0,44469,97.7,19,w,16058.64,16058.64,0,0,1,44469,45500
7575,20000,20000,19975, 36 months,15.61,699.3,D,D1,painter,10+ years,MORTGAGE,70000,n,debt_consolidation,Debt consolidation,NJ,24.72,1,Aug-2004,0,9,0,14831,86.2,17,f,18208.89,18186.13,0,0,1,299771,17200
7576,32350,32350,32350, 60 months,22.4,900.85,E,E3,Recruiting Office Supervisor,10+ years,MORTGAGE,72000,n,debt_consolidation,Debt Cosolidation,MI,33.5,0,Jul-1993,2,12,0,13717,56.2,35,f,0,0,4161.81,749.1258,1,216923,24400
7577,35000,35000,35000, 60 months,9.17,729.44,B,B2,Dean,10+ years,OWN,150000,n,credit_card,Credit card refinancing,CA,25.41,0,Mar-1982,0,31,0,151499,53.1,54,w,32654.52,32654.52,0,0,1,614971,213500
7578,12000,12000,12000, 60 months,17.57,301.93,D,D4,Product Line Engineer,5 years,RENT,95000,n,credit_card,Credit card refinancing,TX,20.82,1,Feb-2000,5,21,0,12837,25.9,37,w,11350.1,11350.1,0,0,1,58112,49600
7579,4800,4800,4800, 36 months,14.65,165.58,C,C5,Care Coordinator ,3 years,RENT,40000,n,debt_consolidation,Debt consolidation,CO,30.54,0,Sep-1996,3,18,0,5284,28,21,f,4023.15,4023.15,0,0,1,29119,18959
7580,8800,8800,8800, 60 months,23.28,249.5,F,F2,Copier Products,2 years,RENT,65000,n,debt_consolidation,Credit Card Payoff,NY,12.17,0,Mar-1983,3,25,0,8817,56.5,31,f,0,0,1093,10.93,1,52954,15600
7581,21200,21200,21200, 60 months,16.29,518.82,C,C4,Shapiro Sher Guinot &Sandler,2 years,MORTGAGE,48000,n,debt_consolidation,New Life,MD,19.43,0,Jun-2001,0,10,0,15082,80,16,w,12541.51,12541.51,0,0,1,165325,18856
7582,11850,11850,11850, 36 months,15.61,414.34,C,C4,Global Marketing Manager,2 years,MORTGAGE,98000,n,credit_card,Credit card refinancing,TX,7.94,0,Jul-1990,1,10,0,9185,84.3,31,f,5950.01,5950.01,0,0,1,151586,10900
7583,10400,10400,10400, 36 months,18.25,377.3,D,D2,sierra pacific mortgage,6 years,MORTGAGE,80000,n,home_improvement,loan funder,CA,22.19,0,Feb-1999,2,6,0,53194,96,14,f,0,0,0,0,1,55107,55400
7584,16000,16000,16000, 60 months,16.59,394.13,D,D1,HR Administrator,< 1 year,RENT,50000,n,credit_card,Credit card refinancing,MD,15.84,0,Apr-2003,2,23,0,16591,68,54,f,12678.04,12678.04,0,0,1,117150,24400
7585,25000,25000,24900, 36 months,16.55,885.73,D,D2,Registered Nurse,2 years,RENT,128000,n,home_improvement,Home improvement,CA,7.46,3,Sep-1998,2,12,0,23966,65.3,28,f,22791.07,22699.91,0,0,1,34531,36700
7586,4000,4000,4000, 36 months,10.36,129.75,B,B5,Baron Sign Manufacturing,< 1 year,RENT,30000,n,other,My Loan,FL,23.76,0,Oct-2001,1,13,0,10520,91.5,25,f,0,0,0,0,1,,
7587,24000,24000,23500, 60 months,17.27,599.96,D,D3,Colgate Palmolive Company,10+ years,MORTGAGE,98400,n,debt_consolidation,Debt Consolidation Plan,OH,23.23,0,Jun-1994,0,14,0,42791,54,44,f,0,0,0,0,1,,
7588,12000,12000,12000, 60 months,17.57,301.93,D,D4,Research coordinator ,7 years,RENT,58000,n,debt_consolidation,Debt consolidation,AZ,24.54,1,Dec-2004,1,7,0,14585,73.7,29,w,0,0,0,0,1,175435,19800
7589,6000,6000,6000, 36 months,15.22,208.64,C,C3,Walmart,10+ years,RENT,41600,n,credit_card,Credit card refinancing,FL,15.12,0,Dec-2004,0,5,0,8302,77.6,8,f,1198.28,1198.28,0,0,1,20209,10700
7590,35000,35000,35000, 60 months,13.99,814.21,C,C4,Teacher,10+ years,MORTGAGE,78000,n,credit_card,Credit card refinancing,CA,18.29,0,Feb-1992,0,9,0,18571,85.6,23,w,33767.24,33767.24,0,0,1,287616,21700
7591,8500,8500,8500, 36 months,12.99,286.36,B,B4,Program Manager,10+ years,RENT,65000,n,credit_card,Credit card refinancing,VA,19.7,0,Jun-1995,1,11,1,8000,63,24,f,0,0,0,0,1,20971,12700
7592,6000,6000,6000, 36 months,12.49,200.7,B,B5,Compliance Manager,9 years,RENT,102000,n,other,Other,NY,27.07,0,May-1986,0,11,0,21453,94.1,21,f,3443.49,3443.49,0,0,1,126066,22800
7593,10000,10000,10000, 36 months,7.89,312.86,A,A5,RN,7 years,MORTGAGE,98000,n,debt_consolidation,Debt consolidation,NV,8.16,0,Jul-1999,0,12,1,16022,58.5,23,w,7716.61,7716.61,0,0,1,252839,27400
7594,8050,8050,8050, 36 months,11.67,266.11,B,B4,money center cashier,10+ years,RENT,18000,n,debt_consolidation,Debt consolidation,TX,17.07,2,Nov-2000,1,10,1,7379,47.3,19,w,5032.53,5032.53,0,0,1,8272,15600
7595,15000,15000,15000, 36 months,19.2,551.36,D,D3,Desk side support,1 year,MORTGAGE,67000,n,credit_card,Card refi,MD,22.3,0,Sep-1997,1,15,0,27247,43.4,30,f,5521.11,5521.11,0,0,1,44757,62800
7596,18000,18000,18000, 36 months,14.33,618.09,C,C1,Fedral National Mortgage (Fannie Mae),4 years,MORTGAGE,97000,n,credit_card,credit card refinance loan,TX,10.51,0,Jun-2009,2,12,0,14285,63.8,14,f,1218.32,1218.32,0,0,1,26655,22400
7597,30000,30000,30000, 60 months,24.5,871.77,F,F3,GE Capital,7 years,MORTGAGE,111000,n,credit_card,Credit Card Payoff,CT,21.24,0,Mar-2002,4,10,0,15941,41.3,17,f,0,0,3937.61,39.3761,1,54701,38600
7598,6000,6000,6000, 36 months,18.84,219.46,E,E2,Splicing engineer,10+ years,MORTGAGE,80000,n,debt_consolidation,Debt consolidation,CA,11.85,2,May-2005,1,8,1,3781,12.6,23,w,4941.09,4941.09,0,0,1,720740,9400
7599,20000,20000,20000, 36 months,7.9,625.81,A,A4,Daily News LLC,< 1 year,RENT,70000,n,debt_consolidation,Lending Loan,NY,0.98,0,Nov-1999,3,4,0,300,1.1,18,w,0,0,0,0,1,710,28000
7600,24000,24000,24000, 60 months,14.65,566.56,C,C5,Teacher,10+ years,MORTGAGE,90000,n,debt_consolidation,Debt consolidation,IL,24.39,0,Jun-1999,0,19,0,20591,54.3,40,w,21414.24,21414.24,0,0,1,254796,37900
7601,18000,18000,18000, 36 months,14.65,620.9,C,C3,WABC-TV,4 years,MORTGAGE,140000,n,debt_consolidation,Continental Debt,NJ,15.79,0,Oct-1996,3,13,0,30009,59,31,f,0,0,0,0,1,,
7602,8000,8000,8000, 36 months,12.69,268.36,C,C2,city letter carrier,10+ years,OWN,55000,n,credit_card,Credit card refinancing,NC,16.6,0,Apr-1996,1,11,0,18198,55.7,14,w,6672.14,6672.14,0,0,1,30641,32700
7603,16750,16750,16750, 36 months,14.65,577.78,C,C5,OFFICE MANAGER,6 years,MORTGAGE,57000,n,debt_consolidation,Debt consolidation,CA,27.52,0,Oct-2003,0,8,0,9854,73,32,w,13221.57,13221.57,0,0,1,371969,13500
7604,6000,6000,6000, 36 months,12.69,201.27,C,C2,supervisor,7 years,RENT,30000,n,credit_card,Credit card refinancing,NY,12.48,0,Oct-2005,0,7,0,3837,30.7,8,w,5582.15,5582.15,0,0,1,3845,12500
7605,3000,3000,3000, 36 months,6.62,92.12,A,A2,"Hungerford, Aldrin, Nichols & Carter",10+ years,MORTGAGE,39520,n,debt_consolidation,Debt Consolidation,MI,15.21,0,Apr-2001,1,6,0,10137,27.8,11,f,0,0,0,0,1,,
7606,16300,16300,16300, 36 months,16.29,575.4,D,D2,Operations Officer,1 year,RENT,39000,n,credit_card,Credit card refinancing,VA,23.14,1,Jul-1999,1,10,0,8964,78.6,21,w,9579.48,9579.48,0,0,1,19816,11400
7607,8500,8500,8500, 36 months,13.11,286.85,B,B4,SMI,10+ years,RENT,26136,n,debt_consolidation,Debt consolidation,CT,34.25,0,Apr-1983,1,19,1,14930,37,26,f,565.97,565.97,0,0,1,18399,40400
7608,25000,25000,25000, 60 months,20.99,676.2,E,E4,Package Car Driver,10+ years,MORTGAGE,79000,n,debt_consolidation,Debt consolidation,CA,18.4,0,Nov-2004,1,10,0,20378,70.8,24,w,22413.82,22413.82,0,0,1,317105,28800
7609,10000,10000,9950, 36 months,7.62,311.62,A,A3,Aetna,10+ years,MORTGAGE,76000,n,debt_consolidation,Debt loan,TX,2.97,0,Sep-1976,2,12,0,3059,6.8,29,f,0,0,20.96,0,1,277581,45100
7610,14675,14675,14675, 60 months,17.57,369.23,D,D2,preassembly,10+ years,MORTGAGE,35000,n,credit_card,Credit card refinancing,OK,21.88,0,Dec-1997,0,8,0,12828,87.3,23,w,11118.12,11118.12,0,0,1,78849,14700
7611,5000,5000,5000, 36 months,6.92,154.21,A,A4,painter,3 years,MORTGAGE,58000,n,home_improvement,Home improvement,GA,25.74,0,May-2001,0,11,1,7445,49.3,32,w,4365.84,4365.84,0,0,1,157726,16600
7612,4825,4825,4775, 36 months,16.55,170.95,D,D2,Dental Assistant ,1 year,RENT,14400,n,credit_card,Credit card refinancing,AZ,36,0,Jan-2012,1,5,0,4295,81,5,f,4720.59,4671.68,0,0,1,11103,5300
7613,14400,14400,14400, 36 months,14.16,493.28,C,C2,Manufacturing Supervisor,< 1 year,RENT,55000,n,debt_consolidation,Debt consolidation,TN,14.86,0,Dec-1987,3,14,0,9389,55.2,63,f,6744.97,6744.97,0,0,1,12820,17000
7614,5000,5000,5000, 36 months,13.33,169.27,C,C3,manager,9 years,RENT,70000,n,debt_consolidation,Debt consolidation,CA,27.72,2,Jan-2005,0,11,0,7627,61.5,15,f,4054,4054,0,0,1,31628,12400
7615,8000,8000,7950, 36 months,10.16,258.74,B,B1,Sutter Physician Services,< 1 year,RENT,25000,n,debt_consolidation,Credit Card Consolidation ,UT,20.93,0,May-2008,2,9,0,9931,71.4,14,f,0,0,0,0,1,26142,13900
7616,7000,7000,7000, 36 months,20.2,260.86,E,E3,Senior Safety Services Officer,2 years,RENT,29390,n,debt_consolidation,Debt consolidation,OH,34.42,0,Mar-2011,3,8,0,2057,54.1,12,w,0,0,975.99,9.7599,1,33020,3800
7617,4800,4800,4800, 36 months,10.99,157.13,B,B3,California Western School of Law,5 years,RENT,50000,n,debt_consolidation,Pay off high cc rates,CA,21.24,0,Dec-1991,0,4,0,3935,95.3,17,f,0,0,118.17,6.762199998,1,,
7618,15000,15000,15000, 36 months,9.67,481.69,B,B1,,n/a,MORTGAGE,48000,n,credit_card,Credit Card Payoff,FL,29.98,1,Jul-1999,1,15,0,15681,43.7,32,f,4498.46,4498.46,0,0,1,164376,35900
7619,10200,10200,10200, 36 months,16.24,359.82,C,C5,,n/a,MORTGAGE,40000,n,debt_consolidation,Re Finance,NY,18.21,0,Dec-2006,4,17,1,19493,46.4,37,f,3960.76,3960.76,0,0,1,108788,42000
7620,7375,7375,7375, 36 months,24.5,291.29,F,F3,,n/a,RENT,25000,n,moving,Moving and relocation,CA,6.34,0,Apr-2005,0,4,0,5110,91.2,4,f,0,0,885.12,159.3216,1,5110,5600
7621,3000,3000,3000, 36 months,14.33,103.02,C,C1,advantage toyota,< 1 year,RENT,60000,n,debt_consolidation,to consolidate with a free mind,NY,9.18,0,Jul-2001,0,12,3,6428,71.4,21,f,0,0,0,0,1,23564,9000
7622,8000,8000,8000, 36 months,14.16,274.05,C,C2,Price change ,9 years,RENT,50000,n,debt_consolidation,Debt consolidation,CA,5.64,1,Jan-2005,0,5,1,1095,18,17,f,0,0,0,0,1,2741,6150
7623,6000,6000,6000, 36 months,16.2,211.54,C,C4,Reservations Manager,3 years,RENT,50000,n,debt_consolidation,Debt consolidation,CA,26.48,0,Sep-2002,0,10,0,21266,90.5,29,f,0,0,0,0,1,81352,23500
7624,35000,35000,34900, 36 months,10.99,1145.69,B,B2,Credit Advisor,10+ years,MORTGAGE,136000,n,credit_card,Credit card refinancing,TN,18.26,0,May-2001,0,18,0,48603,59.5,31,f,0,0,0,0,1,265398,81700
7625,20000,20000,20000, 60 months,20.99,540.96,E,E4,Account Managr,2 years,RENT,75000,n,debt_consolidation,Debt consolidation,CA,8.26,0,Feb-1999,3,24,2,7078,49.5,49,w,16787.01,16787.01,0,0,1,123409,14300
7626,25000,25000,24975, 60 months,21.74,686.79,F,F5,Mt. Holly Police Dept.,10+ years,MORTGAGE,82400,n,home_improvement,Home Improvement Loan,NJ,6.9,0,Aug-2001,8,3,0,0,0,17,f,0,0,1095.45,10.51,1,,
7627,20000,20000,20000, 36 months,7.9,625.81,A,A4,Branh Manager,10+ years,MORTGAGE,240000,n,debt_consolidation,Debt consolidation,AZ,15.13,0,Jun-1997,2,11,0,20250,73.9,28,w,0,0,0,0,1,484126,27400
7628,6000,6000,6000, 36 months,11.53,197.95,B,B5,Server,9 years,RENT,24000,n,debt_consolidation,Debt consolidation,CA,29.8,0,Oct-1994,0,8,0,16843,49.1,13,w,5284.89,5284.89,0,0,1,16843,34300
7629,5600,5600,5600, 36 months,11.99,185.98,B,B3,General Manager,3 years,RENT,50000,n,debt_consolidation,Debt consolidation,TX,17.55,1,Feb-2004,0,6,0,1915,40.7,17,f,2895.72,2895.72,0,0,1,22497,4700
7630,21000,21000,21000, 60 months,14.99,499.48,C,C5,Sr. Vehicle Technician,10+ years,RENT,70000,n,medical,Medical expenses,NV,23.65,0,Aug-1984,0,13,0,20881,60.5,25,w,18243.15,18243.15,0,0,1,36320,34500
7631,35000,35000,34950, 60 months,23.99,1006.68,F,F2,Ceo,10+ years,OWN,225000,n,debt_consolidation,Debt consolidation,GA,10.27,2,May-1994,1,13,0,20547,66.1,42,f,0,0,0,0,1,672316,31100
7632,16700,16700,16700, 36 months,12.12,555.64,B,B3,Fox Racing Shox,6 years,RENT,45000,n,debt_consolidation,Credit Card Consolidation,CA,4.11,0,May-2004,2,7,0,3960,24.1,17,f,0,0,2535.88,454.1904,1,4777,16400
7633,7750,7750,7750, 36 months,15.31,269.84,C,C2,United States Navy,8 years,MORTGAGE,50000,n,credit_card,Credit card refinancing,FL,13.87,0,Dec-1999,1,5,0,4536,29.5,19,f,0,0,0,0,1,201551,15400
7634,7950,7950,7875, 36 months,17.86,286.86,D,D5,Janitorial Supervisor Specialist,5 years,RENT,50400,n,debt_consolidation,Debt consolidation,MS,28.52,0,Jul-1988,0,10,0,8390,79,13,f,7260.65,7192.15,0,0,1,44395,10675
7635,6500,6500,6450, 36 months,10.16,210.23,B,B1,Gurwin,2 years,RENT,30000,n,credit_card,Debtbgone,NY,7.36,0,Jul-2005,0,8,1,6421,52.6,16,f,0,0,0,0,1,15318,12200
7636,10000,10000,10000, 36 months,14.16,342.56,C,C2,Assistant Sales Manager,3 years,MORTGAGE,90000,n,debt_consolidation,Debt consolidation,TX,7.11,0,Jun-2009,0,7,0,2975,53.1,7,w,5316.69,5316.69,0,0,1,183569,5600
7637,16200,16200,16200, 36 months,15.99,569.47,D,D2,food clerk,10+ years,MORTGAGE,45000,n,debt_consolidation,Debt consolidation,CA,6.37,0,May-1998,0,2,0,7132,57.1,27,f,0,0,20,3.599999997,1,7132,12500
7638,9525,3700,1875.010062, 36 months,11.66,122.3,C,C3,City of Des Moines (wa.),1 year,MORTGAGE,60417,n,credit_card,credit cards consoldation,WA,19.58,0,Feb-1993,0,8,1,15948,88.8,31,f,0,0,0,0,1,,
7639,6000,6000,5750, 36 months,8.9,190.52,A,A5,Farmers Insurance Company,4 years,MORTGAGE,71000,n,debt_consolidation,Credit Card Elimination ,FL,13.81,0,Apr-2000,0,14,0,6953,67.5,24,f,0,0,12.07,0,1,,
7640,30000,30000,29900, 60 months,11.11,653.92,B,B5,QUALCOMM  Incorporated,10+ years,MORTGAGE,240000,n,other,Tax,CA,10.49,0,Apr-1986,0,10,0,52435,63.2,24,f,1979.6,1972.74,0,0,1,,
7641,35000,35000,35000, 36 months,16.2,1233.96,C,C4,Senior Sales Consultant,1 year,MORTGAGE,115000,n,credit_card,Pay off Debt,NC,17.96,0,Jul-1998,1,25,0,36009,46.5,41,f,14622.54,14622.54,0,0,1,359224,77400
7642,15000,15000,15000, 36 months,13.53,509.25,B,B5,Administrator and Faculty,2 years,RENT,40000,n,debt_consolidation,Credit Help,NY,27.06,1,Jul-2001,1,12,0,16663,50.6,34,f,0,0,0,0,1,78430,32900
7643,10200,10200,10200, 36 months,15.61,356.65,C,C5,Deputy Registrar,6 years,MORTGAGE,72000,n,debt_consolidation,Debt consolidation,VT,10.68,0,Nov-2003,2,12,0,5740,35.9,45,w,0,0,689.25,121.105,1,16321,16000
7644,11625,11625,11625, 36 months,12.12,386.79,B,B3,Prometric,< 1 year,RENT,35000,n,debt_consolidation,Debt Consolidation Loan,MD,22.52,0,Nov-1986,0,8,0,17673,72.4,10,f,0,0,605.21,5.87,1,20136,24400
7645,24000,24000,24000, 60 months,18.84,620.47,E,E2,Marketing Coordinator,6 years,MORTGAGE,90000,n,debt_consolidation,Debt consolidation,NY,17.2,0,Jul-2000,1,18,0,27210,67.9,35,w,22745.73,22745.73,0,0,1,303194,40100
7646,19750,19750,19750, 60 months,17.14,492.33,D,D4,Assembly,10+ years,OWN,83000,n,credit_card,Credit card refinancing,OH,28.93,0,Jun-1994,1,12,0,39209,98.3,34,w,0,0,0,0,1,360554,39900
7647,27200,27200,27200, 60 months,21.18,738.61,E,E3,ASSISTANT SERVICE MANAGER/ADVISOR,10+ years,MORTGAGE,62000,n,debt_consolidation,Debt consolidation,GA,16.49,0,Sep-1997,0,7,0,19911,89.7,20,w,0,0,0,0,1,154098,22200
7648,3000,3000,3000, 36 months,11.53,98.98,B,B5,store manager,10+ years,RENT,96000,n,major_purchase,Major purchase,FL,7.5,0,Apr-2002,0,10,1,4291,43.3,20,w,0,0,0,0,1,6790,9900
7649,6000,6000,6000, 36 months,9.17,191.28,B,B2,,n/a,MORTGAGE,32000,n,debt_consolidation,Debt consolidation,NC,12.87,1,Aug-2000,0,9,0,13058,78.7,12,f,5560.37,5560.37,0,0,1,79847,16600
7650,27000,27000,27000, 36 months,6.24,824.34,A,A2,Pilot/Captain,10+ years,MORTGAGE,225000,n,home_improvement,Home improvement,GA,19.37,0,May-1987,0,15,0,140570,82.6,27,w,23544.55,23544.55,0,0,1,429501,158100
7651,18000,18000,18000, 60 months,15.61,434.01,D,D1,Warehouse Supervisor,5 years,OWN,65000,n,home_improvement,Home improvement,IL,7.44,0,Jan-2011,0,5,1,1222,15.7,8,w,0,0,0,0,1,19818,7800
7652,9275,9275,9275, 36 months,23.43,361.12,F,F1,QA Supervisor ,9 years,RENT,48066,n,debt_consolidation,Debt consolidation,FL,22.27,0,Oct-2006,0,8,0,6332,93.1,12,w,6871.18,6871.18,0,0,1,36851,6800
7653,8125,8125,8125, 36 months,13.66,276.36,C,C3,,n/a,OWN,23998,n,home_improvement,Home improvement,MN,21.86,0,Mar-1971,0,12,0,21477,62.3,15,f,6189.19,6189.19,0,0,1,21711,34500
7654,15000,15000,14975, 36 months,7.66,467.7,A,A5,Novartis Pharmaceuticals,9 years,MORTGAGE,175000,n,home_improvement,Pool Loan,VA,1.95,0,Apr-1993,0,6,0,40772,10.5,40,f,0,0,0,0,1,,
7655,30000,30000,30000, 36 months,14.33,1030.15,C,C1,Larimer County district Attorney,10+ years,MORTGAGE,72000,n,debt_consolidation,Debt consolidation,CO,20.07,0,May-1991,3,17,0,32447,52.2,39,w,0,0,0,0,1,234062,62100
7656,28000,28000,28000, 60 months,16.29,685.23,C,C4,Nucor; Vulcraft Group,10+ years,RENT,80000,n,debt_consolidation,Debt1,AL,16.19,0,Dec-1995,1,12,0,28305,35.2,28,w,0,0,0,0,1,57133,80500
